id,stage,date,team_name_home,team_home_score,team_name_away,team_away_score,goals_scorers,pens,pens_home_score,pens_away_score,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away
0, Final ,11.07.2021, Italy ,1, England ,1,"[[{'team': 'away'}, {'player': 'Luke Shaw'}, {'minute': '2'}], [{'team': 'home'}, {'player': 'Leonardo Bonucci'}, {'minute': '67'}]]",True,3,2,66%, 34% ,19,6,6,2
1, Semi-finals , 07.07.2021 , England ,2, Denmark ,1,"[[{'team': 'away'}, {'player': 'Mikkel Damsgaard'}, {'minute': '30'}], [{'team': 'home'}, {'player': 'own goal-Simon Kjaer'}, {'minute': '39'}], [{'team': 'home'}, {'player': 'Harry Kane'}, {'minute': '104'}]]",False,False,False,59%, 41% ,20,6,10,3
2, Semi-finals ,06.07.2021, Italy ,1, Spain ,1,"[[{'team': 'home'}, {'player': 'Federico Chiesa'}, {'minute': '60'}], [{'team': 'away'}, {'player': 'Alvaro Morata'}, {'minute': '80'}]]",True,4,2,29%, 71% ,7,16,4,5
3, Quarter-finals , 03.07.2021 , Ukraine ,0, England ,4,"[[{'team': 'away'}, {'player': 'Harry Kane'}, {'minute': '4'}], [{'team': 'away'}, {'player': 'Harry Maguire'}, {'minute': '46'}], [{'team': 'away'}, {'player': 'Harry Kane'}, {'minute': '50'}], [{'team': 'away'}, {'player': 'Jordan Henderson'}, {'minute': '63'}]]",False,False,False,48%, 52% ,7,10,2,6
4, Quarter-finals , 03.07.2021 , Czech Republic ,1, Denmark ,2,"[[{'team': 'away'}, {'player': 'Thomas Delaney'}, {'minute': '5'}], [{'team': 'away'}, {'player': 'Kasper Dolberg'}, {'minute': '42'}], [{'team': 'home'}, {'player': 'Patrik Schick'}, {'minute': '49'}]]",False,False,False,56%, 44% ,16,11,5,7
5, Quarter-finals , 02.07.2021 , Belgium ,1, Italy ,2,"[[{'team': 'away'}, {'player': 'Nicolo Barella'}, {'minute': '31'}], [{'team': 'away'}, {'player': 'Lorenzo Insigne'}, {'minute': '44'}], [{'team': 'home'}, {'player': 'Romelu Lukaku'}, {'minute': '47'}]]",False,False,False,46%, 54% ,10,14,4,3
6, Quarter-finals ,02.07.2021, Switzerland ,1, Spain ,1,"[[{'team': 'away'}, {'player': 'own goal-Denis Zakaria'}, {'minute': '8'}], [{'team': 'home'}, {'player': 'Xherdan Shaqiri'}, {'minute': '68'}]]",True,1,3,27%, 73% ,8,28,2,10
7, Round of 16 , 29.06.2021 , Sweden ,1, Ukraine ,2,"[[{'team': 'away'}, {'player': 'Olexandr Zinchenko'}, {'minute': '27'}], [{'team': 'home'}, {'player': 'Emil Forsberg'}, {'minute': '43'}], [{'team': 'away'}, {'player': 'Artem Dovbyk'}, {'minute': '121'}]]",False,False,False,45%, 55% ,13,15,3,4
8, Round of 16 , 29.06.2021 , England ,2, Germany ,0,"[[{'team': 'home'}, {'player': 'Raheem Sterling'}, {'minute': '75'}], [{'team': 'home'}, {'player': 'Harry Kane'}, {'minute': '86'}]]",False,False,False,45%, 55% ,5,9,4,3
9, Round of 16 ,28.06.2021, France ,3, Switzerland ,3,"[[{'team': 'away'}, {'player': 'Haris Seferovic'}, {'minute': '15'}], [{'team': 'home'}, {'player': 'Karim Benzema'}, {'minute': '57'}], [{'team': 'home'}, {'player': 'Karim Benzema'}, {'minute': '59'}], [{'team': 'home'}, {'player': 'Paul Pogba'}, {'minute': '75'}], [{'team': 'away'}, {'player': 'Haris Seferovic'}, {'minute': '81'}], [{'team': 'away'}, {'player': 'Mario Gavranovic'}, {'minute': '90'}]]",True,4,5,55%, 45% ,26,12,8,5
10, Round of 16 , 28.06.2021 , Croatia ,3, Spain ,5,"[[{'team': 'home'}, {'player': 'own goal-Pedri '}, {'minute': '20'}], [{'team': 'away'}, {'player': 'Pablo Sarabia'}, {'minute': '38'}], [{'team': 'away'}, {'player': 'Cesar Azpilicueta'}, {'minute': '57'}], [{'team': 'away'}, {'player': 'Ferran Torres'}, {'minute': '77'}], [{'team': 'home'}, {'player': 'Mislav Oršić'}, {'minute': '85'}], [{'team': 'home'}, {'player': 'Mario Pasalic'}, {'minute': '92'}], [{'team': 'away'}, {'player': 'Alvaro Morata'}, {'minute': '100'}], [{'team': 'away'}, {'player': 'Mikel Oyarzabal'}, {'minute': '103'}]]",False,False,False,32%, 68% ,12,23,7,10
11, Round of 16 , 27.06.2021 , Belgium ,1, Portugal ,0,"[[{'team': 'home'}, {'player': 'Thorgan Hazard'}, {'minute': '42'}]]",False,False,False,42%, 58% ,6,23,1,4
12, Round of 16 , 27.06.2021 , Netherlands ,0, Czech Republic ,2,"[[{'team': 'away'}, {'player': 'Tomáš Holeš'}, {'minute': '68'}], [{'team': 'away'}, {'player': 'Patrik Schick'}, {'minute': '80'}]]",False,False,False,52%, 48% ,6,12,0,5
13, Round of 16 , 26.06.2021 , Italy ,2, Austria ,1,"[[{'team': 'home'}, {'player': 'Federico Chiesa'}, {'minute': '95'}], [{'team': 'home'}, {'player': 'Matteo Pessina'}, {'minute': '105'}], [{'team': 'away'}, {'player': 'Sasa Kalajdzic'}, {'minute': '114'}]]",False,False,False,52%, 48% ,27,16,6,3
14, Round of 16 , 26.06.2021 , Wales ,0, Denmark ,4,"[[{'team': 'away'}, {'player': 'Kasper Dolberg'}, {'minute': '27'}], [{'team': 'away'}, {'player': 'Kasper Dolberg'}, {'minute': '48'}], [{'team': 'away'}, {'player': 'Joakim Mæhle'}, {'minute': '88'}], [{'team': 'away'}, {'player': 'Martin Braithwaite'}, {'minute': '94'}]]",False,False,False,47%, 53% ,11,16,1,8
15, Group stage: Matchday 3 , 23.06.2021 , Portugal ,2, France ,2,"[[{'team': 'home'}, {'player': 'Cristiano Ronaldo'}, {'minute': '31'}], [{'team': 'away'}, {'player': 'Karim Benzema'}, {'minute': '47'}], [{'team': 'away'}, {'player': 'Karim Benzema'}, {'minute': '47'}], [{'team': 'home'}, {'player': 'Cristiano Ronaldo'}, {'minute': '60'}]]",False,False,False,47%, 53% ,10,11,5,5
16, Group stage: Matchday 3 , 23.06.2021 , Germany ,2, Hungary ,2,"[[{'team': 'away'}, {'player': 'Adam Szalai'}, {'minute': '11'}], [{'team': 'home'}, {'player': 'Kai Havertz'}, {'minute': '66'}], [{'team': 'away'}, {'player': 'András Schäfer'}, {'minute': '68'}], [{'team': 'home'}, {'player': 'Leon Goretzka'}, {'minute': '84'}]]",False,False,False,76%, 24% ,18,9,7,4
17, Group stage: Matchday 3 , 23.06.2021 , Sweden ,3, Poland ,2,"[[{'team': 'home'}, {'player': 'Emil Forsberg'}, {'minute': '2'}], [{'team': 'home'}, {'player': 'Emil Forsberg'}, {'minute': '59'}], [{'team': 'away'}, {'player': 'Robert Lewandowski'}, {'minute': '61'}], [{'team': 'away'}, {'player': 'Robert Lewandowski'}, {'minute': '84'}], [{'team': 'home'}, {'player': 'Viktor Claesson'}, {'minute': '94'}]]",False,False,False,33%, 67% ,11,18,4,6
18, Group stage: Matchday 3 , 23.06.2021 , Slovakia ,0, Spain ,5,"[[{'team': 'away'}, {'player': 'own goal-Martin Dubravka'}, {'minute': '30'}], [{'team': 'away'}, {'player': 'Aymeric Laporte'}, {'minute': '48'}], [{'team': 'away'}, {'player': 'Pablo Sarabia'}, {'minute': '56'}], [{'team': 'away'}, {'player': 'Ferran Torres'}, {'minute': '67'}], [{'team': 'away'}, {'player': 'own goal-Juraj Kucka'}, {'minute': '71'}]]",False,False,False,34%, 66% ,3,19,0,9
19, Group stage: Matchday 3 , 22.06.2021 , Croatia ,3, Scotland ,1,"[[{'team': 'home'}, {'player': 'Nikola Vlasic'}, {'minute': '17'}], [{'team': 'away'}, {'player': 'Callum McGregor'}, {'minute': '42'}], [{'team': 'home'}, {'player': 'Luka Modric'}, {'minute': '62'}], [{'team': 'home'}, {'player': 'Ivan Perisic'}, {'minute': '77'}]]",False,False,False,67%, 33% ,11,11,6,3
20, Group stage: Matchday 3 , 22.06.2021 , Czech Republic ,0, England ,1,"[[{'team': 'away'}, {'player': 'Raheem Sterling'}, {'minute': '12'}]]",False,False,False,43%, 57% ,7,5,1,3
21, Group stage: Matchday 3 , 21.06.2021 , Finland ,0, Belgium ,2,"[[{'team': 'away'}, {'player': 'own goal-Lukáš Hrádecký'}, {'minute': '74'}], [{'team': 'away'}, {'player': 'Romelu Lukaku'}, {'minute': '81'}]]",False,False,False,39%, 61% ,7,17,1,7
22, Group stage: Matchday 3 , 21.06.2021 , Russia ,1, Denmark ,4,"[[{'team': 'away'}, {'player': 'Mikkel Damsgaard'}, {'minute': '38'}], [{'team': 'away'}, {'player': 'Yussuf Poulsen'}, {'minute': '59'}], [{'team': 'home'}, {'player': 'Artem Dzyuba'}, {'minute': '70'}], [{'team': 'away'}, {'player': 'Andreas Christensen'}, {'minute': '79'}], [{'team': 'away'}, {'player': 'Joakim Mæhle'}, {'minute': '82'}]]",False,False,False,35%, 65% ,6,16,2,10
23, Group stage: Matchday 3 , 21.06.2021 , Ukraine ,0, Austria ,1,"[[{'team': 'away'}, {'player': 'Christoph Baumgartner'}, {'minute': '21'}]]",False,False,False,51%, 49% ,5,18,1,4
